Base EAN13,Digito verificador,Código de Barras,Producto,Marca,Modelo,Cantidad a la mano,Atributo,Valores Atributo,Venta con IVA,Venta sin IVA,SKU Proveedor,Largo Envio,Ancho Envio,Alto Envio,Peso completo,Dimensiones Producto,Material,Proveedor,Precio de Costo,# Variantes de producto,Observaciones,Descripción para el sitio web,Descripción SEO,Referencia interna,Nombre Base,Nombre Comercial,Categoría de Punto de venta,Subcategoría,Volumen,Imagen,Categoría del Producto,Está Publicado,Rastrear Inventario,Etiquetas,Sitio web,Disponible en PdV
780999003010,2,7809990030102,Camara,Foris,12,1,Válvula,Auto 33mm,"$2,990","$2,513",,122,75,55,166,2.125,Butilo,No registra,"$2,300",1,,"Cámara de aire Foris para bicicleta, pensada para ruedas aro 12 como repuesto de mantenimiento y uso diario. Una opción práctica para reemplazo cuando necesitas volver a rodar: revisa que corresponda a tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Camara Marca Foris Aro 12 Variante Válvula: Auto 33mm Material Butilo Dimensiones Producto 2.125","Cámara Foris aro 12 para bicicleta, ideal como repuesto para uso diario. Útil para reemplazar una cámara dañada y seguir rodando.",CAM-FOR-12-A,Camara Foris Aro 12,Camara Foris Aro 12x2.125 Válvula Auto 33mm,Repuestos,Neumáticos y Cámaras,503250,https://clubike.cl/imagenes/CAM-FOR-12-A.jpg,Repuestos / Neumáticos y Cámaras,0,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003011,9,7809990030119,Camara,RBX,27.5,4,Válvula,Francesa 60mm,"$5,990","$5,034",,135,80,60,222,1.50/2.20,Butilo,No registra,"$4,608",1,,"Cámara de aire RBX para bicicleta, pensada para ruedas aro 27.5 como recambio de mantenimiento y uso frecuente. Recomendada como repuesto para llevar o tener en casa: verifica que sea la indicada para tu rueda y realiza la instalación con cuidado durante el montaje. Especificaciones Técnicas Tipo de producto Camara Marca RBX Aro 27.5 Variante Válvula: Francesa 60mm Material Butilo Dimensiones Producto 1.50/2.20","Cámara RBX aro 27.5 para bicicleta, pensada como repuesto para tus salidas. Ideal para reemplazar una cámara dañada y volver a rodar.",CAM-RBX-275-F,Camara RBX Aro 27.5,Camara RBX Aro 27.5x1.50/2.20 Válvula Francesa 60mm,Repuestos,Neumáticos y Cámaras,648000,https://clubike.cl/imagenes/CAM-RBX-275-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003012,6,7809990030126,Camara,RBX,26,3,Válvula,Francesa 48mm,"$4,990","$4,193",,130,76,51,208,1.50/2.20,Butilo,No registra,"$3,838",2,,"Cámara de aire RBX para bicicleta, pensada para ruedas aro 26 como repuesto de mantenimiento y reemplazo. Para una experiencia sin complicaciones, confirma la compatibilidad con tu rueda y realiza el montaje con cuidado para evitar daños durante la instalación. Especificaciones Técnicas Tipo de producto Camara Marca RBX Aro 26 Variante Válvula: Francesa 48mm Material Butilo Dimensiones Producto 1.50/2.20","Cámara de aire RBX aro 26 para bicicleta, ideal como repuesto para uso diario. Útil para reemplazar una cámara dañada y seguir rodando.",CAM-RBX-26-F,Camara RBX Aro 26,Camara RBX Aro 26x1.50/2.20 Válvula Francesa 48mm,Repuestos,Neumáticos y Cámaras,503880,https://clubike.cl/imagenes/CAM-RBX-26-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003013,3,7809990030133,Camara,RBX,26,2,Válvula,Auto,"$4,990","$4,193",,125,75,61,248,2.30/2.50,Butilo,No registra,"$3,838",2,,"Cámara de aire RBX para bicicleta, pensada para ruedas aro 26 como recambio de mantenimiento y uso frecuente. Una alternativa simple para reemplazo: revisa que corresponda a tu rueda y realiza la instalación con cuidado para un montaje correcto. Especificaciones Técnicas Tipo de producto Camara Marca RBX Aro 26 Variante Válvula: Auto Material Butilo Dimensiones Producto 2.30/2.50","Cámara de aire RBX aro 26 para bicicleta, pensada como repuesto práctico para tus salidas. Ideal para reemplazo cuando necesitas volver a rodar.",CAM-RBX-26-A,Camara RBX Aro 26,Camara RBX Aro 26x2.30/2.50 Válvula Auto,Repuestos,Neumáticos y Cámaras,571875,https://clubike.cl/imagenes/CAM-RBX-26-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003014,0,7809990030140,Autosellante Camara,RBX,26,6,Válvula,Auto,"$7,990","$6,714",,145,105,65,337,1.75/2.125,Butilo,No registra,"$6,146",1,,"Cámara autosellante RBX para bicicleta, pensada para ruedas aro 26 como alternativa de recambio y mantenimiento. Para un uso correcto, confirma que corresponda a tu rueda y realiza la instalación con cuidado, siguiendo buenas prácticas de montaje. Especificaciones Técnicas Tipo de producto Autosellante Camara Marca RBX Aro 26 Variante Válvula: Auto Material Butilo Dimensiones Producto 1.75/2.125","Cámara autosellante RBX aro 26 para bicicleta, ideal como repuesto de mantenimiento. Útil para reemplazo y para mantener el rodado en tus salidas.",AUT-RBX-26-A,Autosellante Camara RBX Aro 26,Autosellante Camara RBX Aro 26x1.75/2.125 Válvula Auto,Repuestos,Neumáticos y Cámaras,989625,https://clubike.cl/imagenes/AUT-RBX-26-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003015,7,7809990030157,Autosellante Camara,RBX,27.5,2,Válvula,Francesa 48 mm,"$8,990","$7,555",,145,105,65,203,1.50/2.20,Butilo,No registra,"$6,915",1,,"Cámara autosellante RBX para bicicleta, pensada para ruedas aro 27.5 como alternativa de recambio y mantenimiento. Útil para llevar como repuesto o mantener en casa: confirma que corresponda a tu rueda y realiza la instalación con cuidado durante el montaje. Especificaciones Técnicas Tipo de producto Autosellante Camara Marca RBX Aro 27.5 Variante Válvula: Francesa 48 mm Material Butilo Dimensiones Producto 1.50/2.20","Cámara autosellante RBX aro 27.5 para bicicleta, pensada como repuesto de mantenimiento. Una opción práctica para reemplazo y uso frecuente.",AUT-RBX-275-F,Autosellante Camara RBX Aro 27.5,Autosellante Camara RBX Aro 27.5x1.50/2.20 Válvula Francesa 48 mm,Repuestos,Neumáticos y Cámaras,989625,https://clubike.cl/imagenes/AUT-RBX-275-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003016,4,7809990030164,Autosellante Camara,RBX,700,2,Válvula,Francesa 48 mm,"$7,990","$6,714",,145,105,65,94,18/25C,Butilo,No registra,"$6,146",1,,"Cámara autosellante RBX para bicicleta, pensada para ruedas aro 700 como recambio para mantenimiento y reemplazo. Una alternativa práctica para tener como repuesto: revisa que corresponda a tu rueda y realiza la instalación con cuidado para un montaje correcto. Especificaciones Técnicas Tipo de producto Autosellante Camara Marca RBX Aro 700 Variante Válvula: Francesa 48 mm Material Butilo Dimensiones Producto 18/25C","Cámara autosellante RBX aro 700 para bicicleta, ideal como repuesto de mantenimiento. Útil para reemplazo cuando necesitas volver a rodar.",AUT-RBX-700-F,Autosellante Camara RBX Aro 700,Autosellante Camara RBX Aro 700x18/25C Válvula Francesa 48 mm,Repuestos,Neumáticos y Cámaras,989625,https://clubike.cl/imagenes/AUT-RBX-700-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003017,1,7809990030171,Camara,Bell,20,4,Válvula,Auto,"$5,000","$4,202",,115,70,50,162,1.75 - 2.25,Butilo,No registra,"$3,846",1,,"Cámara Bell para bicicleta, pensada para ruedas aro 20 como repuesto de mantenimiento y uso frecuente. Útil para reemplazar una cámara dañada y seguir rodando: verifica que corresponda a tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Camara Marca Bell Aro 20 Variante Válvula: Auto Material Butilo Dimensiones Producto 1.75 - 2.25","Cámara Bell aro 20 para bicicleta, una opción práctica para reemplazo y mantenimiento. Ideal para volver a rodar tras un pinchazo.",CAM-BEL-20-A,Camara Bell Aro 20,Camara Bell Aro 20x1.75 - 2.25 Válvula Auto,Repuestos,Neumáticos y Cámaras,402500,https://clubike.cl/imagenes/CAM-BEL-20-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003018,8,7809990030188,Camara,Bell,16,7,Válvula,Auto,"$3,900","$3,277",59350,105,70,50,142,1.75 - 2.25,Butilo,No registra,"$3,000",1,,"Cámara Bell para bicicleta, pensada para ruedas aro 16 como recambio de mantenimiento y reemplazo. Una alternativa simple para tener como repuesto: confirma que corresponda a tu rueda y realiza la instalación con cuidado durante el montaje. Especificaciones Técnicas Tipo de producto Camara Marca Bell Aro 16 Variante Válvula: Auto Material Butilo Dimensiones Producto 1.75 - 2.25","Cámara Bell aro 16 para bicicleta, pensada como repuesto práctico para uso diario. Ideal para reemplazar una cámara dañada y seguir rodando.",CAM-BEL-16-A,Camara Bell Aro 16,Camara Bell Aro 16x1.75 - 2.25 Válvula Auto,Repuestos,Neumáticos y Cámaras,367500,https://clubike.cl/imagenes/CAM-BEL-16-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003019,5,7809990030195,Camara,Tioga,26,1,Válvula Francesa,30mm,"$4,990","$4,193",,115,80,55,213,1.90/2.125,Butilo,No registra,"$3,838",2,,"Cámara Tioga para bicicleta, pensada para ruedas aro 26 como repuesto de mantenimiento y reemplazo. Útil para tener como recambio en tus salidas: verifica que corresponda a tu rueda y realiza la instalación con cuidado para un montaje correcto. Especificaciones Técnicas Tipo de producto Camara Marca Tioga Aro 26 Variante Válvula: Francesa 30mm Material Butilo Dimensiones Producto 1.90/2.125","Cámara Tioga aro 26 para bicicleta, pensada como repuesto para salidas y mantenimiento. Útil para reemplazo cuando lo necesitas.",CAM-TIO-26-3,Camara Tioga Aro 26,Camara Tioga Aro 26x1.90/2.125 Válvula 30mm,Repuestos,Neumáticos y Cámaras,506000,https://clubike.cl/imagenes/CAM-TIO-26-3.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003020,1,7809990030201,Camara,Tioga,26,3,Válvula Francesa,60mm,"$5,990","$5,034",,115,80,55,204,1.90/2.125,Butilo,No registra,"$4,608",2,,"Cámara Tioga para bicicleta, pensada para ruedas aro 26 como repuesto de mantenimiento y reemplazo. Para un montaje correcto, revisa que corresponda a tu rueda y realiza la instalación con cuidado para evitar pellizcos. Especificaciones Técnicas Tipo de producto Camara Marca Tioga Aro 26 Variante Válvula: Francesa 60mm Material Butilo Dimensiones Producto 1.90/2.125","Cámara Tioga aro 26 para bicicleta, pensada como repuesto práctico para uso diario. Útil para reemplazar una cámara dañada y seguir rodando.",CAM-TIO-26-6,Camara Tioga Aro 26,Camara Tioga Aro 26x1.90/2.125 Válvula 60mm,Repuestos,Neumáticos y Cámaras,506000,https://clubike.cl/imagenes/CAM-TIO-26-6.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003021,8,7809990030218,Camara,Bicycle,700,8,Válvula,Francesa 60mm,"$5,800","$4,874",,120,80,50,142,23/25C,Butilo,No registra,"$4,462",1,,"Cámara Bicycle para bicicleta, pensada para ruedas aro 700 como repuesto de mantenimiento y reemplazo. Para un montaje correcto, revisa que corresponda a tu rueda y realiza la instalación con cuidado para evitar pellizcos. Especificaciones Técnicas Tipo de producto Camara Marca Bicycle Aro 700 Variante Válvula: Francesa 60mm Material Butilo Dimensiones Producto 23/25C","Cámara Bicycle aro 700 para bicicleta, pensada como repuesto práctico para uso diario. Útil para reemplazar una cámara dañada y seguir rodando.",CAM-BIC-700-F,Camara Bicycle Aro 700,Camara Bicycle Aro 700x23/25C Válvula Francesa 60mm,Repuestos,Neumáticos y Cámaras,480000,https://clubike.cl/imagenes/CAM-BIC-700-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003022,5,7809990030225,Camara,Vuelta,26,2,Válvula Auto,48mm,"$5,200","$4,370",C1324,175,85,50,240,2.30/2.60,Butilo,MKR,"$3,081",2,,"Cámara Vuelta para bicicleta, pensada para ruedas aro 26 como repuesto de mantenimiento y reemplazo. Para un montaje correcto, revisa que corresponda a tu rueda y realiza la instalación con cuidado para evitar pellizcos. Especificaciones Técnicas Tipo de producto Camara Marca Vuelta Aro 26 Variante Válvula: Auto 48mm Material Butilo Dimensiones Producto 2.30/2.60","Cámara Vuelta aro 26 para bicicleta, pensada como repuesto práctico para uso diario. Útil para reemplazar una cámara dañada y seguir rodando.",CAM-VUE-26-4,Camara Vuelta Aro 26,Camara Vuelta Aro 26x2.30/2.60 Válvula 48mm,Repuestos,Neumáticos y Cámaras,743750,https://clubike.cl/imagenes/CAM-VUE-26-4.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003023,2,7809990030232,Camara,Vuelta,26,1,Válvula Auto,33mm,"$5,200","$4,370",C438,175,85,50,233,1.95/2.10,Butilo,MKR,"$2,773",2,,"Cámara Vuelta para bicicleta, pensada para ruedas aro 26 como repuesto de mantenimiento y reemplazo. Para un montaje correcto, revisa que corresponda a tu rueda y realiza la instalación con cuidado para evitar pellizcos. Especificaciones Técnicas Tipo de producto Camara Marca Vuelta Aro 26 Variante Válvula: Auto 33mm Material Butilo Dimensiones Producto 1.95/2.10","Cámara Vuelta aro 26 para bicicleta, pensada como repuesto práctico para uso diario. Útil para reemplazar una cámara dañada y seguir rodando.",CAM-VUE-26-3,Camara Vuelta Aro 26,Camara Vuelta Aro 26x1.95/2.10 Válvula 33mm,Repuestos,Neumáticos y Cámaras,743750,https://clubike.cl/imagenes/CAM-VUE-26-3.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003024,9,7809990030249,Camara,Uniqa,700,5,Válvula,Auto 48mm,"$5,500","$4,622",,155,71,50,140,23C/25C,Butilo,No registra,"$4,231",2,,"Cámara Uniqa para bicicleta, pensada para ruedas aro 700 como repuesto de mantenimiento y reemplazo. Para un montaje correcto, revisa que corresponda a tu rueda y realiza la instalación con cuidado para evitar pellizcos. Especificaciones Técnicas Tipo de producto Camara Marca Uniqa Aro 700 Variante Válvula: Auto 48mm Material Butilo Dimensiones Producto 23C/25C","Cámara Uniqa aro 700 para bicicleta, pensada como repuesto práctico para uso diario. Útil para reemplazar una cámara dañada y seguir rodando.",CAM-UNI-700-A,Camara Uniqa Aro 700,Camara Uniqa Aro 700x23C/25C Válvula Auto 48mm,Repuestos,Neumáticos y Cámaras,550250,https://clubike.cl/imagenes/CAM-UNI-700-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003025,6,7809990030256,Camara,Uniqa,700,6,Válvula,Francesa 60mm,"$5,500","$4,622",,155,71,50,130,23C/25C,Butilo,No registra,"$4,231",2,,"Cámara Uniqa para bicicleta, pensada para ruedas aro 700 como repuesto de mantenimiento y reemplazo. Útil para tener como recambio en tus salidas o en casa: verifica que corresponda a tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Camara Marca Uniqa Aro 700 Variante Válvula: Francesa 60mm Material Butilo Dimensiones Producto 23C/25C","Cámara Uniqa aro 700 para bicicleta, pensada como repuesto práctico para uso diario. Ideal para reemplazar una cámara dañada y seguir rodando.",CAM-UNI-700-F,Camara Uniqa Aro 700,Camara Uniqa Aro 700x23C/25C Válvula Francesa 60mm,Repuestos,Neumáticos y Cámaras,550250,https://clubike.cl/imagenes/CAM-UNI-700-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003026,3,7809990030263,Camara,Zhengxing,28,4,Valvula,Auto,"$1,200","$1,008",,130,70,40,233,1 5/8 x 1 1/4,Butilo,No registra,$923,1,,"Cámara Zhengxing para bicicleta, pensada para ruedas aro 28 como opción de recambio y reemplazo. Una alternativa práctica para tener como repuesto: confirma que corresponda a tu rueda y realiza la instalación con cuidado durante el montaje. Especificaciones Técnicas Tipo de producto Camara Marca Zhengxing Aro 28 Variante Válvula: Auto Material Butilo Dimensiones Producto 1 5/8 x 1 1/4","Cámara Zhengxing aro 28 para bicicleta, ideal como repuesto para mantenimiento y uso diario. Útil para reemplazar una cámara dañada y volver a rodar.",CAM-ZHE-28-A,Camara Zhengxing Aro 28,Camara Zhengxing Aro 28x1 5/8 x 1 1/4 Válvula Auto,Repuestos,Neumáticos y Cámaras,364000,https://clubike.cl/imagenes/CAM-ZHE-28-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
